Component_Type_Upload_Code,Price_Level_Upload_Code,Dimension_Set,Leader_Scope,Follower_Scope,Mapping_Mode,Mapping_Value,Extraction_Time
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090189777/13/6181W/HS,0097/0090189777/13/6181W/IK,USE_LEADER_METHOD,0,20161201 18:41:51
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090189777/13/6181W/HS,0097/0090189777/13/6181W/IM,USE_LEADER_METHOD,0,20161201 18:41:51
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090206120/13/6505W/HS,0097/0090206120/13/6505W/IK,USE_LEADER_METHOD,0,20161202 15:30:07
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090206120/13/6505W/HS,0097/0090206120/13/6505W/IM,USE_LEADER_METHOD,0,20161202 15:30:09
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090206235/13/6150W/HS,0097/0090206235/13/6150W/IK,USE_LEADER_METHOD,0,20171011 15:40:26
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090206235/13/6150W/HS,0097/0090206235/13/6150W/IM,USE_LEADER_METHOD,0,20171011 15:40:31
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090207065/13/7078W/VJ,0097/0090207065/13/7078W/VL,USE_LEADER_METHOD,0,20180111 13:24:59
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090207065/13/7078W/VJ,0097/0090207065/13/7078W/VN,USE_LEADER_METHOD,0,20180111 13:24:56
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090207821/13/6042W/HS,0097/0090207821/13/6042W/IK,USE_LEADER_METHOD,0,20170315 12:28:12
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090207821/13/6042W/HS,0097/0090207821/13/6042W/IM,USE_LEADER_METHOD,0,20170315 12:28:18
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090207822/13/6056W/HS,0097/0090207822/13/6056W/IK,USE_LEADER_METHOD,0,20170322 10:36:57
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090207822/13/6056W/HS,0097/0090207822/13/6056W/IM,USE_LEADER_METHOD,0,20170322 10:36:59
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090207845/13/6096W/HS,0097/0090207845/13/6096W/IK,USE_LEADER_METHOD,0,20170403 15:38:39
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090207845/13/6096W/HS,0097/0090207845/13/6096W/IM,USE_LEADER_METHOD,0,20170403 15:38:36
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090208376/13/6042W/HS,0097/0090208376/13/6042W/IK,USE_LEADER_METHOD,0,20170201 10:56:32
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090208376/13/6042W/HS,0097/0090208376/13/6042W/IM,USE_LEADER_METHOD,0,20170201 10:56:35
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090208379/13/6151W/HS,0097/0090208379/13/6151W/IK,USE_LEADER_METHOD,0,20161214 10:02:32
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090208379/13/6151W/HS,0097/0090208379/13/6151W/IM,USE_LEADER_METHOD,0,20161214 10:02:38
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090208404/13/6046W/HS,0097/0090208404/13/6046W/IK,USE_LEADER_METHOD,0,20170501 12:10:10
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090208404/13/6046W/HS,0097/0090208404/13/6046W/IM,USE_LEADER_METHOD,0,20170501 12:10:13
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090208438/13/6002W/HS,0097/0090208438/13/6002W/IK,USE_LEADER_METHOD,0,20170425 15:42:47
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090208438/13/6002W/HS,0097/0090208438/13/6002W/IM,USE_LEADER_METHOD,0,20170425 15:42:49
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090208450/13/6002W/HS,0097/0090208450/13/6002W/IK,USE_LEADER_METHOD,0,20170301 12:23:16
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090208450/13/6002W/HS,0097/0090208450/13/6002W/IM,USE_LEADER_METHOD,0,20170301 12:23:18
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090208453/13/6206W/HS,0097/0090208453/13/6206W/IK,USE_LEADER_METHOD,0,20170213 16:53:46
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090208453/13/6206W/HS,0097/0090208453/13/6206W/IM,USE_LEADER_METHOD,0,20170213 16:53:49
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090208600/13/6150W/HS,0097/0090208600/13/6150W/IK,USE_LEADER_METHOD,0,20161215 09:56:03
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090208600/13/6150W/HS,0097/0090208600/13/6150W/IM,USE_LEADER_METHOD,0,20161215 09:56:06
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090208610/13/6152W/HS,0097/0090208610/13/6152W/IK,USE_LEADER_METHOD,0,20161207 15:27:33
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090208610/13/6152W/HS,0097/0090208610/13/6152W/IM,USE_LEADER_METHOD,0,20161207 15:27:37
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090208695/13/7485W/VJ,0097/0090208695/13/7485W/VL,USE_LEADER_METHOD,0,20180410 11:34:42
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090208695/13/7485W/VJ,0097/0090208695/13/7485W/VN,USE_LEADER_METHOD,0,20180410 11:34:37
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090209813/13/6042W/HS,0097/0090209813/13/6042W/IK,USE_LEADER_METHOD,0,20170501 12:01:07
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090209813/13/6042W/HS,0097/0090209813/13/6042W/IM,USE_LEADER_METHOD,0,20170501 12:01:10
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090209837/13/6206W/HS,0097/0090209837/13/6206W/IK,USE_LEADER_METHOD,0,20180625 15:19:40
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090209837/13/6206W/HS,0097/0090209837/13/6206W/IM,USE_LEADER_METHOD,0,20180625 15:19:43
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090209838/13/6120W/HS,0097/0090209838/13/6120W/IK,USE_LEADER_METHOD,0,20180618 17:50:02
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090209838/13/6120W/HS,0097/0090209838/13/6120W/IM,USE_LEADER_METHOD,0,20180618 17:50:05
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090210324/13/7293W/VJ,0097/0090210324/13/7293W/VL,USE_LEADER_METHOD,0,20170727 13:44:53
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090210324/13/7293W/VJ,0097/0090210324/13/7293W/VN,USE_LEADER_METHOD,0,20170727 13:44:49
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090210434/13/6216W/HS,0097/0090210434/13/6216W/IK,USE_LEADER_METHOD,0,20180410 11:30:34
COCO,COCO,Sales_Org/SOLDTO/PRICE_GROUP/DRC/MatPriceGrp,0097/0090210434/13/6216W/HS,0097/0090210434/13/6216W/IM,USE_LEADER_METHOD,0,20180410 11:30:37
